about, 7975
be, 28572
before, 5715
by, 20762
her, 28607
much, 5395
old, 4716
up, 10753
where, 4718
you, 44587
after, 4731
been, 10350
come, 6588
d, 10531
down, 6182
get, 4399
got, 4494
have, 24606
here, 6376
is, 39956
me, 20824
my, 27224
now, 10941
only, 6292
own, 4178
she, 23659
their, 10826
them, 12758
this, 23019
upon, 6686
we, 20256
will, 14391
but, 33427
do, 12942
great, 5281
had, 26048
it, 69969
like, 7124
most, 4673
no, 17221
o, 4378
on, 21548
take, 4260
the, 211129
then, 11313
thy, 4485
time, 9052
was, 53638
which, 13765
again, 5085
are, 13827
as, 30098
first, 5076
into, 5847
long, 4574
one, 15915
our, 7848
shall, 6373
they, 20742
think, 5502
us, 6145
all, 21776
at, 21783
mr, 5278
of, 120571
say, 6068
that, 61332
your, 13526
away, 4566
ever, 4221
go, 6336
his, 34975
how, 7246
just, 4130
make, 5626
never, 6550
out, 11960
over, 4722
sir, 4951
very, 8398
when, 12928
who, 7700
with, 35421
could, 11327
did, 7781
every, 4895
good, 8915
he, 48067
i, 84450
in, 71475
king, 4827
let, 4985
more, 9433
or, 14340
s, 28446
such, 7032
were, 14735
would, 15549
am, 6863
can, 7636
from, 15369
has, 6850
its, 5294
little, 5883
ll, 4227
man, 8230
other, 6656
so, 20916
some, 7319
t, 14054
there, 16387
two, 6227
well, 8550
what, 14541
a, 102604
an, 12867
and, 173465
for, 38053
if, 13677
know, 7668
made, 5776
may, 4936
must, 6134
not, 35069
nothing, 4388
said, 10980
see, 7444
should, 5336
than, 7331
these, 5769
to, 117259
way, 5222
any, 8355
day, 5959
him, 21873
thing, 4450
thou, 6002
too, 5140
yet, 4164
